Title,Note,URL,Comment
Gypse,,https://www.google.com/maps/place/Gypse/data=!4m2!3m1!1s0x47e66ddbd40e61c3:0xf4b009b20030239b,
Mokonuts,,https://www.google.com/maps/place/Mokonuts/data=!4m2!3m1!1s0x47e6720931e12495:0xcf1f48cb19c7f5d5,
LArchimede - Restaurant Bistronomique Paris 10,,https://www.google.com/maps/place/LArchimede+-+Restaurant+Bistronomique+Paris+10/data=!4m2!3m1!1s0x47e66ff17245a825:0x129b98a813fdc67,
Ripaille Marseille,,https://www.google.com/maps/place/Ripaille+Marseille/data=!4m2!3m1!1s0x12c9c1c1ebce289b:0x8df7844c37f2388a,
Bistronomie Yasmine,,https://www.google.com/maps/place/Bistronomie+Yasmine/data=!4m2!3m1!1s0x12c9c0a4cfb01f6f:0x5bedc2e5e5dc2a95,
LA CHOLA,,https://www.google.com/maps/place/LA+CHOLA/data=!4m2!3m1!1s0x12c9c1f21c411ed1:0x941e24f578a298c9,
Dos Hermanas,,https://www.google.com/maps/place/Dos+Hermanas/data=!4m2!3m1!1s0x12c9c0a4c0697b63:0xb0add106171ec35c,
La Nena - Bar à tapas,,https://www.google.com/maps/place/La+Nena+-+Bar+%C3%A0+tapas/data=!4m2!3m1!1s0x12c9c147f152ec67:0xb1b1a087b69697fa,
Bouchon Comptoir Brunet,,https://www.google.com/maps/place/Bouchon+Comptoir+Brunet/data=!4m2!3m1!1s0x47f4eaf87fac5dd5:0x12915f26d73559,
Afghanistan Restaurant,,https://www.google.com/maps/place/Afghanistan+Restaurant/data=!4m2!3m1!1s0x47e66df08d6701b3:0xb607a0adef41016b,
Muu Steakhouse,,https://www.google.com/maps/place/Muu+Steakhouse/data=!4m2!3m1!1s0xd2464e31472fb4b:0x89b410b39db893a4,
Drogheria Italiana,,https://www.google.com/maps/place/Drogheria+Italiana/data=!4m2!3m1!1s0x47e6720a82349fbd:0x1a718b8e8fd18d3c,
La Cantine Incognito,,https://www.google.com/maps/place/La+Cantine+Incognito/data=!4m2!3m1!1s0x47e673fcbc2da655:0x3adb442933ad9bd6,
Louloute,,https://www.google.com/maps/place/Louloute/data=!4m2!3m1!1s0x47e6734ddc4298ab:0x6f3fd30ae22c5ff6,
Les Marcheurs de Planète,,https://www.google.com/maps/place/Les+Marcheurs+de+Plan%C3%A8te/data=!4m2!3m1!1s0x47e66df81418b419:0x88395e4554d0fbfa,
PITA street food grecque,,https://www.google.com/maps/place/PITA+street+food+grecque/data=!4m2!3m1!1s0x47e6730268bea731:0xd5342dfb1ee90049,
Martha Pizze Amore,,https://www.google.com/maps/place/Martha+Pizze+Amore/data=!4m2!3m1!1s0x47e66dddc53f13cd:0xd9acc1a1d8a861e1,
Kuna,,https://www.google.com/maps/place/Kuna/data=!4m2!3m1!1s0x47e66ff6eba80711:0x560957a58ef2a187,
Chez Aline,,https://www.google.com/maps/place/Chez+Aline/data=!4m2!3m1!1s0x47e66df78bdc973f:0x82aaa09958ee4642,
Misu,,https://www.google.com/maps/place/Misu/data=!4m2!3m1!1s0x47e6714146fa5163:0xb1fa281bdd06af86,
MINORE,,https://www.google.com/maps/place/MINORE/data=!4m2!3m1!1s0x47e66f8271ae96bd:0x93514c7a227e7582,
Zafran,,https://www.google.com/maps/place/Zafran/data=!4m2!3m1!1s0x4652530741dbb903:0x7d2a2d18f0b128bd,
Au Terminus du Châtelet,,https://www.google.com/maps/place/Au+Terminus+du+Ch%C3%A2telet/data=!4m2!3m1!1s0x47e66e1f990c1bbd:0xba4bb6913562bbc9,
Chez Marthe,,https://www.google.com/maps/place/Chez+Marthe/data=!4m2!3m1!1s0x47e673f27eb8f6bb:0x9f87a21a31ccad79,
Les Trois Frères,,https://www.google.com/maps/place/Les+Trois+Fr%C3%A8res/data=!4m2!3m1!1s0x47e66e65c25ed7e7:0xe222f08e4c06d571,
Gili-Gili,,https://www.google.com/maps/place/Gili-Gili/data=!4m2!3m1!1s0x47e66f3268bd77a3:0xbbb2529ccbed5138,
Kawamoto,,https://www.google.com/maps/place/Kawamoto/data=!4m2!3m1!1s0x47e66df8a0228599:0x9b0c53b4c6f5d0d5,
Daniel et Denise Créqui - Bouchon Lyonnais,,https://www.google.com/maps/place/Daniel+et+Denise+Cr%C3%A9qui+-+Bouchon+Lyonnais/data=!4m2!3m1!1s0x47f4ea5f6d2fc123:0x958474d2ec35c74b,
L'Amour de Nuit,,https://www.google.com/maps/place/L'Amour+de+Nuit/data=!4m2!3m1!1s0x47f4ebc80d394baf:0x20207ef72776a155,
Mozzato,,https://www.google.com/maps/place/Mozzato/data=!4m2!3m1!1s0x47f4ea55b5735579:0x6dba809ee643b447,
Le Lafayette Lyon 02,,https://www.google.com/maps/place/Le+Lafayette+Lyon+02/data=!4m2!3m1!1s0x47f4ea57b2207851:0x3deadc82287faeb7,
Bouchon Tupin,,https://www.google.com/maps/place/Bouchon+Tupin/data=!4m2!3m1!1s0x47f4ebea4ea10d8f:0xcd7365e601992d6,
Le Petit Persan,,https://www.google.com/maps/place/Le+Petit+Persan/data=!4m2!3m1!1s0x47f4eaff0acf49c3:0x68e72119837b9f7,
Le Petit Glouton,,https://www.google.com/maps/place/Le+Petit+Glouton/data=!4m2!3m1!1s0x47f4ebaae3b3bae5:0x68ccbff41aac34ff,
Caf Rest.chez Le Pr Gras,,https://www.google.com/maps/place/Caf+Rest.chez+Le+Pr+Gras/data=!4m2!3m1!1s0x478af465c03a7f71:0x2043705765f40e71,
La REcyclerie,,https://www.google.com/maps/place/La+REcyclerie/data=!4m2!3m1!1s0x47e66ef5944a85d3:0x3ce19c17a7b9524,
BUCK - Fried Chicken & Wine,,https://www.google.com/maps/place/BUCK+-+Fried+Chicken+%26+Wine/data=!4m2!3m1!1s0x47e6734125b74d43:0x4ebeae933a785500,
Restaurant Ventrus - Parc de La Villette,,https://www.google.com/maps/place/Restaurant+Ventrus+-+Parc+de+La+Villette/data=!4m2!3m1!1s0x47e66db951bc9089:0x4c393f4dea0db1a9,
Origini,,https://www.google.com/maps/place/Origini/data=!4m2!3m1!1s0x47e67324f69f33ef:0xbf5fdda93a6e4a65,
Oinari,,https://www.google.com/maps/place/Oinari/data=!4m2!3m1!1s0x47e66e410bf40001:0xece878b4516e67c6,
Caluche,,https://www.google.com/maps/place/Caluche/data=!4m2!3m1!1s0x47e671f0bf570f1d:0xd83224884519bdb0,
Le Rigodon,,https://www.google.com/maps/place/Le+Rigodon/data=!4m2!3m1!1s0x47e66d94bff71b0b:0x1218c04b25136a83,
BARRIO MESHICA Charonne,,https://www.google.com/maps/place/BARRIO+MESHICA+Charonne/data=!4m2!3m1!1s0x47e66dda942a8447:0x1fa01b49cbd9fa67,
100% Crousti,,https://www.google.com/maps/place/100%25+Crousti/data=!4m2!3m1!1s0x47e66fb3141f53d9:0x84915abbdb1e8f36,
Balls,,https://www.google.com/maps/place/Balls/data=!4m2!3m1!1s0x47e66df0e9f95e83:0x92c90d1e638e62f3,
Cafe Content,,https://www.google.com/maps/place/Cafe+Content/data=!4m2!3m1!1s0x47e66da788554397:0xefd3da2ac75d4c47,
Mokoloco,,https://www.google.com/maps/place/Mokoloco/data=!4m2!3m1!1s0x47e6736d209de6b1:0xdf8187d5b0c16bd0,
Septime,,https://www.google.com/maps/place/Septime/data=!4m2!3m1!1s0x47e672085202a913:0x3230715dda06499,
Đất Việt,,https://www.google.com/maps/place/%C4%90%E1%BA%A5t+Vi%E1%BB%87t/data=!4m2!3m1!1s0x47e671b68aa612b7:0x7bf9803c9d94e0f0,
Les Mascareignes,,https://www.google.com/maps/place/Les+Mascareignes/data=!4m2!3m1!1s0x47e673f53c59d1a1:0x14997a3f034d9a2e,
Les Petites Cantines Paris,,https://www.google.com/maps/place/Les+Petites+Cantines+Paris/data=!4m2!3m1!1s0x47e67187f3fc2979:0xafaf1b45b5fadec0,
Grande Brasserie,,https://www.google.com/maps/place/Grande+Brasserie/data=!4m2!3m1!1s0x47e6739c182668fb:0xd6e7d061d89337e1,
Tonkatsu Tombo,,https://www.google.com/maps/place/Tonkatsu+Tombo/data=!4m2!3m1!1s0x47e671ccb53abde5:0xb2d0c1736d61c2e1,
Kokoya,,https://www.google.com/maps/place/Kokoya/data=!4m2!3m1!1s0x47e66fb33785854f:0x18fc3b6f3e2200ab,
Chez Plume,,https://www.google.com/maps/place/Chez+Plume/data=!4m2!3m1!1s0x47e66e475cdecfcf:0x8a16cd92618efa05,
Momoka,,https://www.google.com/maps/place/Momoka/data=!4m2!3m1!1s0x47e66e49b4a68d95:0x98d1fdb4f34ac5d6,
"Pasta Linea ""le marais""",,https://www.google.com/maps/place/Pasta+Linea+%22le+marais%22/data=!4m2!3m1!1s0x47e671fe2fed4a9b:0x6be86b8eef96c999,
Clutch,,https://www.google.com/maps/place/Clutch/data=!4m2!3m1!1s0x47e67378b8a47199:0xe155c8981f37cac8,
Antica Macelleria CECCHINI,,https://www.google.com/maps/place/Antica+Macelleria+CECCHINI/data=!4m2!3m1!1s0x132a4a976bc2c6b5:0xce12d295a94f117f,
Berardi Salumi Srl,,https://www.google.com/maps/place/Berardi+Salumi+Srl/data=!4m2!3m1!1s0x132e3a90f4972a63:0x9f04fa423ac439bc,
Impact Berliner Kebap,,https://www.google.com/maps/place/Impact+Berliner+Kebap/data=!4m2!3m1!1s0x47e66d89d7f6d661:0xcb8a084ff12bec7d,
Coin Pop,,https://www.google.com/maps/place/Coin+Pop/data=!4m2!3m1!1s0x47e66df37ba4ecdb:0xdba951a3ceaec8af,
Lolivà 2,,https://www.google.com/maps/place/Loliv%C3%A0+2/data=!4m2!3m1!1s0x47e6738bcc3e383f:0xc74f9dffa26fbf9f,
"Mala Boom, A Spicy Love Story - Restaurant Chinois Paris 11",,"https://www.google.com/maps/place/Mala+Boom,+A+Spicy+Love+Story+-+Restaurant+Chinois+Paris+11/data=!4m2!3m1!1s0x47e66d7358118e71:0xf48a335e774674cc",
dalia,,https://www.google.com/maps/place/dalia/data=!4m2!3m1!1s0x47e66f55174c9f43:0xf220b18c0053552a,
Riha Durum,,https://www.google.com/maps/place/Riha+Durum/data=!4m2!3m1!1s0x47e66f01d3b6b7b5:0x63880961237dfc0a,
Biyo Dürüm,,https://www.google.com/maps/place/Biyo+D%C3%BCr%C3%BCm/data=!4m2!3m1!1s0x47e673e16175bfa9:0x3d172542031c5f2b,
Carnis Cantine,,https://www.google.com/maps/place/Carnis+Cantine/data=!4m2!3m1!1s0x47e66fe28967912f:0x8b2c8fda432a9a47,
Leriche,,https://www.google.com/maps/place/Leriche/data=!4m2!3m1!1s0x12aebb7df8cfb3cd:0x8c2260ea462b616b,
Buzkashi Restaurant,,https://www.google.com/maps/place/Buzkashi+Restaurant/data=!4m2!3m1!1s0x47e66e4d3e5df68d:0xcaee34fc96cf2a9,
yam'Tcha,,https://www.google.com/maps/place/yam'Tcha/data=!4m2!3m1!1s0x47e66e222c0c3947:0xca6f21aa55d550d7,
Boutique yam'Tcha,,https://www.google.com/maps/place/Boutique+yam'Tcha/data=!4m2!3m1!1s0x47e66e222c2068b1:0xcc5a7a17e513bb74,
L'Aubergeade,,https://www.google.com/maps/place/L'Aubergeade/data=!4m2!3m1!1s0x47e6720de79a84c1:0x7d91161ddaf778d9,
Rôtisserie Cot Cot Gardette,,https://www.google.com/maps/place/R%C3%B4tisserie+Cot+Cot+Gardette/data=!4m2!3m1!1s0x47e66d75af36ac97:0x2cee24fc7a2f5dfa,
Bouillabaisse TURFU,,https://www.google.com/maps/place/Bouillabaisse+TURFU/data=!4m2!3m1!1s0x12c9c1efbf4af371:0xfac32da6c3c27c4b,
Amatxi,,https://www.google.com/maps/place/Amatxi/data=!4m2!3m1!1s0x47e66da85d2a3063:0x4ed7ca752b8c5dc8,
Chefs à Table,,https://www.google.com/maps/place/Chefs+%C3%A0+Table/data=!4m2!3m1!1s0x47e6736195913985:0xfc1defbb4c90490e,
Toranj,,https://www.google.com/maps/place/Toranj/data=!4m2!3m1!1s0x47e67186f50ec84f:0x9e3c5a1038b94277,
Persepolis,,https://www.google.com/maps/place/Persepolis/data=!4m2!3m1!1s0x47e67101e5e0e953:0x87c4419b0bfddf21,
Come a Casa,,https://www.google.com/maps/place/Come+a+Casa/data=!4m2!3m1!1s0x47e66e08aa5a11f7:0x7b5b300c4d4eb8b8,
Muto Donburi,,https://www.google.com/maps/place/Muto+Donburi/data=!4m2!3m1!1s0x47e66f0cbd5b3fcb:0xfa02347bb56da32c,
Blanca Restaurant,,https://www.google.com/maps/place/Blanca+Restaurant/data=!4m2!3m1!1s0x47e67335a3068137:0x613d6278484ebf70,
FLESH restaurant,,https://www.google.com/maps/place/FLESH+restaurant/data=!4m2!3m1!1s0x47e66e4f25895cf5:0x637a02511e9b8701,
AVESTA - Cuisine Traditionnelle Kurde,,https://www.google.com/maps/place/AVESTA+-+Cuisine+Traditionnelle+Kurde/data=!4m2!3m1!1s0x47e66e13fa83a21f:0xb19c7415983cc4d6,
Anatolia Village,,https://www.google.com/maps/place/Anatolia+Village/data=!4m2!3m1!1s0x47e66e124688aa9f:0x90f23fb22b09b581,
The Lebanese Sajeria,,https://www.google.com/maps/place/The+Lebanese+Sajeria/data=!4m2!3m1!1s0x47c609c23b38d5f9:0x74addf4661586f23,
Eunoé restaurant,,https://www.google.com/maps/place/Euno%C3%A9+restaurant/data=!4m2!3m1!1s0x47e66d2ac2344239:0x889be4fb509ff1f0,
Jolia,,https://www.google.com/maps/place/Jolia/data=!4m2!3m1!1s0x47e66d25b20cf6fd:0x174dd8e86c5149fc,
Chez Mamy,,https://www.google.com/maps/place/Chez+Mamy/data=!4m2!3m1!1s0x47e67366c4274795:0xbc34f42724ad5d88,
Les pères populaires,,https://www.google.com/maps/place/Les+p%C3%A8res+populaires/data=!4m2!3m1!1s0x47e672799379a4f5:0xc86a8ff7630352d0,
Waly-Fay Senegalese Restaurant,,https://www.google.com/maps/place/Waly-Fay+Senegalese+Restaurant/data=!4m2!3m1!1s0x47e67209c758b9c7:0xa388e63d98184f31,
Kodawari Ramen (Yokochō),,https://www.google.com/maps/place/Kodawari+Ramen+(Yokoch%C5%8D)/data=!4m2!3m1!1s0x47e671d8cee50be3:0xe73cffb0381b3105,
La French Charonne,,https://www.google.com/maps/place/La+French+Charonne/data=!4m2!3m1!1s0x47e66df5cecf02ef:0x980380e9096c627d,
HuThoPi,,https://www.google.com/maps/place/HuThoPi/data=!4m2!3m1!1s0x47e6733a02f01973:0x4327d575e9b41ac0,
Menekse,,https://www.google.com/maps/place/Menekse/data=!4m2!3m1!1s0x47e6738a846dca5d:0x57375d581119dfac,
Tsubame,,https://www.google.com/maps/place/Tsubame/data=!4m2!3m1!1s0x47e66e4ee7fe4e6d:0xc22bbc9ae448c59d,
La P'tite Vadrouille,,https://www.google.com/maps/place/La+P'tite+Vadrouille/data=!4m2!3m1!1s0x47e66d915c395555:0xf3e151a52e88c8ba,
Erbil Restaurant,,https://www.google.com/maps/place/Erbil+Restaurant/data=!4m2!3m1!1s0x47a84fe512cc19a9:0xd268bcf25dac608b,
Le Grand Bain,,https://www.google.com/maps/place/Le+Grand+Bain/data=!4m2!3m1!1s0x47e66de616dd3bcb:0xb2912581f39bf13b,
